round_dir,time_scale,adapter_pool_size,system_key,system,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260514_real_remote_fullfigs_v1_adpool_llama2_7b_r4000_a300_seed42_z1p0_hot32_rot500_s8_sensadpool_v1,8.0,300,sglang,SGLang,4000.0,301.61,747.22,2443.08,5603.13,19.75,22.483967687730882,105.776,0.0035772,114.4237,4.1367045,14.3089022,17170.682662,0.0,8962.872091,8094.768169,113.042404,0.0,19.75,2.3550500803159172e-05,0.003553649499196841,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260514_real_remote_fullfigs_v1_adpool_llama2_7b_r4000_a300_seed42_z1p0_hot32_rot500_s8_sensadpool_v1,8.0,300,vllm,vLLM,4000.0,484.57,1139.04,3127.67,7191.34,25.92,28.940200223056923,104.568,0.0038867,82.2627,4.49551171,15.5466079,18655.929439,0.0,10808.978037,6249.723703,1597.2277,0.0,25.92,0.0003327557715646283,0.0035539442284353716,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260514_real_remote_fullfigs_v1_adpool_llama2_7b_r4000_a300_seed42_z1p0_hot32_rot500_s8_sensadpool_v1,8.0,300,slora,S-LoRA,4000.0,264.03,341.37,3508.3,7917.68,28.02,33.751067634113866,116.488,0.0039009,73.0704,4.45192756,15.6034852,18724.182275,0.0,11887.09735,5170.952422,1666.132504,0.0,28.02,0.00034711093768449947,0.0035537890623155008,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260514_real_remote_fullfigs_v1_adpool_llama2_7b_r4000_a300_seed42_z1p0_hot32_rot500_s8_sensadpool_v1,8.0,300,serverlessllm,ServerlessLLM,4000.0,236675.71,470495.58,239243.07,473331.75,25.03,26.68492453438895,98.39,0.0026773,1.5612,3.10461043,10.7093444,11312.819622,1538.393629,11050.335388,6461.253242,262.484234,0.0,25.03,5.468421554006687e-05,0.002302117111028364,0.0003204986734315694,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260514_real_remote_fullfigs_v1_adpool_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,faaslora,PrimeLoRA,4000.0,531.675,879.1264,3100.6122,7103.5125,27.2044,35.3397375556425,102.42633,0.00254866,126.543736,2.9545,10.19463973,10841.59489,1391.97279,10675.927217,5846.285719,165.667673,0.0,27.2044,3.451409853038162e-05,0.0022241515703144373,0.0002899943311551808,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260514_real_remote_fullfigs_v1_adpool_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,sglang,SGLang,4000.0,305.41,976.16,2438.44,5618.27,19.73,22.401415302451962,105.255,0.0035957,114.0533,4.16051489,14.3826711,17259.205374,0.0,8908.928627,8148.728761,201.547988,0.0,19.73,4.198916403529243e-05,0.0035537108359647075,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260514_real_remote_fullfigs_v1_adpool_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,vllm,vLLM,4000.0,491.36,1121.55,3133.87,7184.88,25.9,28.915443235999916,104.552,0.0040576,78.6407,4.69335577,16.2304831,19476.57977,0.0,10823.061608,6235.441488,2418.076676,0.0,25.9,0.0005037659728734058,0.003553834027126594,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260514_real_remote_fullfigs_v1_adpool_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,slora,S-LoRA,4000.0,262.11,338.17,3471.53,7772.26,27.66,32.516823855695186,116.487,0.0040014,71.9886,4.56669307,16.0056929,19206.831536,0.0,11828.242752,5229.608944,2148.97984,0.0,27.66,0.00044770413202799395,0.003553695867972006,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260514_real_remote_fullfigs_v1_adpool_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,serverlessllm,ServerlessLLM,4000.0,236925.63,470634.46,239497.22,473567.61,25.06,26.726396722839244,98.411,0.0026828,1.5564,3.11079272,10.7311368,11346.67377,1530.690342,11083.812454,6428.899435,262.861315,0.0,25.06,5.476277416245998e-05,0.0023091434033988725,0.00031889382243866746,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1,8.0,500,faaslora,PrimeLoRA,4000.0,657.1698,1661.2877,3265.4022,7305.3105,29.8132,43.907284415571674,102.030525,0.00257684,118.843777,2.9885,10.30734623,11019.190429,1349.625047,10812.564781,5668.425199,206.625647,0.0,29.8132,4.304700979166667e-05,0.0022526211054166665,0.00028117188479166667,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1,8.0,500,sglang,SGLang,4000.0,274.48,359.53,2427.36,5654.69,20.0,23.1417129979524,105.415,0.003599,114.4668,4.16364175,14.3961328,17275.359322,0.0,8911.463627,8146.193109,217.702584,0.0,20.0,4.535470509976515e-05,0.003553645294900235,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1,8.0,500,vllm,vLLM,4000.0,500.68,1173.41,3151.02,7206.33,26.05,29.000164103536093,104.558,0.0040665,78.0421,4.70357678,16.2659469,19519.136229,0.0,10860.669344,6197.91512,2460.551764,0.0,26.05,0.0005126149521727042,0.0035538850478272956,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1,8.0,500,slora,S-LoRA,4000.0,325.5,438.05,3790.54,8834.01,29.93,39.637771737619,116.433,0.0041509,63.5556,4.73759918,16.6036838,19924.420601,0.0,12381.183676,4676.6838,2866.553124,0.0,29.93,0.0005971985662710989,0.003553701433728901,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1,8.0,500,serverlessllm,ServerlessLLM,4000.0,236575.7,469915.99,239156.82,472944.34,25.14,26.831219868782238,98.489,0.0026921,1.5532,3.12134619,10.7682667,11405.993464,1515.926527,11143.034446,6366.891414,262.959018,0.0,25.14,5.478312895773797e-05,0.0023214988433863447,0.00031581802765591726,0.0
