scenario,label,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,gpu_hit_rate_pct,lora_io_ms,dispatch_wait_ms,cost_per_req_usd,ce,reference,ttft_avg_improvement_pct,ttft_p95_improvement_pct,e2e_avg_improvement_pct,e2e_p95_improvement_pct,tpot_avg_improvement_pct,tpot_p95_improvement_pct,tok_s_improvement_pct,lora_io_improvement_pct,dispatch_wait_improvement_pct,cost_improvement_pct,ce_improvement_pct
faaslora_nvme,NVMe,669.6995,1805.5299,3296.1939,7317.3335,30.8597,47.042673121243496,102.350394,94.8,2.3554,206.3623,0.00258836,117.20938,,,,,,,,,,,,
faaslora_no_coord,NoCoord,619.1912,1604.832,3238.3542,7209.1774,30.4281,43.65570413927863,102.796174,94.72500000000001,2.4634,164.2601,0.00256824,120.237568,NVMe,8.157141122160638,12.505851079739184,1.786083190035237,1.5002557712062936,1.4184257314784565,7.758365255452349,0.435543022921836,-4.38418446050175,25.631422360025358,0.7834158801358182,2.583571383109451
faaslora_full,Full,658.32,1728.9765,3253.3322,7240.519,30.1738,45.77503865612016,101.623817,94.5,2.5807,187.1021,0.00256313,119.922451,NVMe,1.7285666545145073,4.427671515489084,1.3174707458402324,1.0608977063660596,2.273164135773409,2.769270113885214,-0.7098917469726462,-8.730189483473483,10.29395180492363,0.9843433614370012,2.314721739847103
