system,system_key,model,model_key,formal_requests,trace_role,replay_rate,slo_profile,gpu_budget,total_requests,ok_requests,failed_requests,ttft_target_ms,tpot_target_ms,ttft_avg_ms,ttft_p95_ms,tpot_avg_ms,tpot_p95_ms,paper_slo_gate_pass,e2e_avg_ms,e2e_p95_ms,ce,monetary_cost_per_request_usd,monetary_cost_total_usd,raw_records_path,raw_records_sha256,source_summary_path,source_summary_sha256,manifest_path,manifest_sha256
SLINFER,slinfer,Llama-3.2 3B,3b,4000,formal4000,1.0,paper_nominal,2,4000,4000,0,180.0,14.0,423.321612,359.640252,31.724122,59.46255,false,5989.37866,17466.413142,259.965506,0.000642247619,2.568990476,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260615_slinfer_semfix_3b_w2_k10_formal4000_v2/raw_records.json,e20c5a089bb9ce5cdeeaa52b7bdc8324e1e36fe4878162a89c06d9bce42e30d3,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260615_slinfer_semfix_3b_w2_k10_formal4000_v2/source_summary.json,3244b3f543b8f7b50d8abc4a863b56ebdb3d87ce3c791a6c8837a9deb17e1ae7,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260615_slinfer_semfix_3b_w2_k10_formal4000_v2/manifest.json,2100e13454672779444a3d01fa8420e4bd4dbb2ae18ebfe69d386cef16cf617e
SLINFER,slinfer,Llama-2 7B,7b,4000,formal4000,1.0,paper_nominal,4,4000,4000,0,440.0,32.0,270.007191,569.450145,33.250109,47.59765,false,7519.229996,22057.538149,71.707974,0.001854638095,7.418552381,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260616_slinfer_laxbalanced_7b_w1_k60_formal4000_v2/raw_records.json,64a0dbd2439865f70e7dc4a5a26149dc73cfcef808ab0449ed96b82fe7ea267c,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260616_slinfer_laxbalanced_7b_w1_k60_formal4000_v2/source_summary.json,f3abfb3e0c79d330062933f2eade11a61247d160c649a36f8d266a53e4e2501e,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260616_slinfer_laxbalanced_7b_w1_k60_formal4000_v2/manifest.json,6a52f3671e31ac79e0da34b75bf5fc91889e21209ebfbd656491798d48a29a15
