model_key,target_concurrency,keep_alive_s,min_instances,max_instances,completed,total,ttft_slo_ms,tpot_slo_ms,ttft_p95_ms,tpot_p95_ms,ttft_slo_attainment,tpot_slo_attainment,joint_slo_attainment,e2e_avg_ms,ce,monetary_cost_per_request_usd,predeploy_startup_sec,worst_normalized_p95_violation,selected,raw_records_path,raw_records_sha256,source_summary_path,source_summary_sha256
7b,4,60,1,4,512,512,440.0,32.0,4259.7654,24.872234962899736,0.779296875,0.9980430528375733,0.77734375,5598.8113,52.516349,0.00340102,89.159669,9.681285,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_calib512_t4_k60_v1/raw_records.json,ae68ba80406da6e9e2d478d6cabd135771450423fe16f114223c7e0a8a1cbffb,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_calib512_t4_k60_v1/source_summary.json,7185fd1c8f941b5d926d58c2640c3cedca7a63b355c23e3123318823b86c315d
7b,8,60,1,4,512,512,440.0,32.0,531.7577,28.10998033630309,0.908203125,0.9902152641878669,0.900390625,5414.1335,61.856728,0.00298596,65.942984,1.2085402272727273,true,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_calib512_t8_k60_v1/raw_records.json,ebb47f36fc8295098e9ac07ee79c4d2c6bff265c27249aef144930f07d9cb97d,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_calib512_t8_k60_v1/source_summary.json,242d3a54a991fa556092d229b68f11c904cc7301d1c35745f5a9d1c2574961e5
7b,12,60,1,4,512,512,440.0,32.0,3384.0863,33.64512890239003,0.84765625,0.9256360078277887,0.806640625,6177.2225,58.495715,0.00276747,66.567658,7.691105227272727,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_calib512_t12_k60_v1/raw_records.json,40b674bf4398f0ece672cafa351792c784bb0f7058762ea2bcfef19e901dee7a,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_calib512_t12_k60_v1/source_summary.json,00c736a821df739124c544537891d5e697e472d4080277778d0eb56348e9e148
7b,16,60,1,4,512,512,440.0,32.0,4124.5083,33.998648259153335,0.8359375,0.913894324853229,0.791015625,6328.6534,56.995769,0.00277234,66.036824,9.3738825,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_calib512_t16_k60_v1/raw_records.json,80e259e2532a3f878a5e24430602451229691c33dd2d9abec6e2ff2072e5df79,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_calib512_t16_k60_v1/source_summary.json,b14624673d63d51355d8d69bc8b59e46b8a98b090ccb727045b1c72414e42d3e
