model_key,target_concurrency,keep_alive_s,min_instances,max_instances,completed,total,ttft_slo_ms,tpot_slo_ms,ttft_p95_ms,tpot_p95_ms,ttft_slo_attainment,tpot_slo_attainment,joint_slo_attainment,e2e_avg_ms,ce,monetary_cost_per_request_usd,predeploy_startup_sec,worst_normalized_p95_violation,selected,raw_records_path,raw_records_sha256,source_summary_path,source_summary_sha256
3b,8,60,1,4,512,512,180.0,14.0,244.0004,13.600166289586635,0.85546875,0.958904109589041,0.828125,2272.9354,205.625396,0.00213962,61.491927,1.3555577777777779,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260612_serverlessllm_3b_calib512_t8_k60_v1/raw_records.json,2f08854b0979279978392bda445827416f19bd8d73f3fd2825359afc56a9c201,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260612_serverlessllm_3b_calib512_t8_k60_v1/source_summary.json,f88acf066af2db2d48e0a8714d20e0d929dc5be13f0575dbbd51da149f614f43
3b,12,60,1,4,512,512,180.0,14.0,228.4934,13.998739819626909,0.875,0.949119373776908,0.837890625,2295.0431,237.876285,0.00183172,61.503872,1.269407777777778,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_3b_calib512_t12_k60_v1/raw_records.json,3e4533c2cd9585e105272331271d341e3d14650967c905d3473bb11ae643649c,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_3b_calib512_t12_k60_v1/source_summary.json,13d1d8a1d837929612f27fd8e87fa6ab46de8db71961ecf49a3a469b2e5bd6ec
3b,16,60,1,4,512,512,180.0,14.0,228.2902,14.070126490952326,0.873046875,0.9393346379647749,0.826171875,2304.447,231.082104,0.00187788,87.208368,1.268278888888889,true,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260612_serverlessllm_3b_calib512_t16_k60_v1/raw_records.json,85457afec247153afd43b4e025670bbd962ffe60fbe04a8bcbd819b97185a8a3,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260612_serverlessllm_3b_calib512_t16_k60_v1/source_summary.json,2a4cf460c930a5faab24717a6b2e732ff7d018fe22774574b70c0e1d56c4825c
3b,20,60,1,4,512,512,180.0,14.0,531.5502,15.830254660603778,0.845703125,0.8747553816046967,0.763671875,2423.1403,253.673188,0.00162685,60.821596,2.953056666666667,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_3b_calib512_t20_k60_v1/raw_records.json,be5ab1635d537cf2592288d296deaca202031b99096370bdb3a59aee7a1a9841,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_3b_calib512_t20_k60_v1/source_summary.json,20b0fbe445ca03963c22af9d053ec7f4dc4155923df8c0ea61d2e017a134c453
3b,24,60,1,4,512,512,180.0,14.0,525.9067,15.792677067016644,0.833984375,0.8590998043052838,0.744140625,2434.2586,251.456821,0.00163369,61.551384,2.921703888888889,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260612_serverlessllm_3b_calib512_t24_k60_v1/raw_records.json,d725063c77a217ba835afdfa3ab6621478a807e52e9bef591534813543ccab58,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260612_serverlessllm_3b_calib512_t24_k60_v1/source_summary.json,ac4f7e79c7908c65eaa6593b7d59a2f953a929c1b9dbcdf5fc889b09d728c9da
3b,32,60,1,4,512,512,180.0,14.0,550.8234,15.882051814543573,0.837890625,0.8551859099804305,0.75,2459.6835,246.011807,0.00165259,65.023355,3.06013,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260612_serverlessllm_3b_calib512_t32_k60_v1/raw_records.json,5920b6ee932fe28db8b8c529821159b6b875c0d5c5b51e4707f6cadbd86e5cfe,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260612_serverlessllm_3b_calib512_t32_k60_v1/source_summary.json,b8746e74415ca3763521ecfae200c9d23bff13b721c3edbee900995ece57cb2d
