model_key,keep_alive_s,node_memory_gb,monitor_tail_s,completed,total,failed,success_rate,eligible_zero_failure,ttft_slo_ms,tpot_slo_ms,ttft_p95_ms,tpot_p95_ms,ttft_slo_attainment,tpot_slo_attainment,joint_slo_attainment,e2e_avg_ms,ce,monetary_cost_per_request_usd,worst_normalized_p95_violation,selected,raw_records_path,raw_records_sha256,source_summary_path,source_summary_sha256,manifest_path,manifest_sha256
7b,1,23.0,3.0,509,512,3,0.994140625,false,440.0,32.0,2738.5112055708014,37.232,0.734375,0.734375,0.50390625,7367.49995,81.048409,0.00167469361,6.223889103570003,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k1/raw_records.json,72d7e5ff5e7e6c8e7ebc61f3f0d3acc1c4190434c9186c5037a16c7089988193,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k1/source_summary.json,3aea9bd8572187b2cd30b642a11a4011d8895d28a2184a551cab11fbae669edd,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k1/manifest.json,a87e4e5f4e0b91eb484ef536cba3a77df90e05e97a87e2e9ff88995db3725431
7b,10,23.0,12.0,507,512,5,0.990234375,false,440.0,32.0,2500.444474575715,35.6259,0.828125,0.72265625,0.576171875,7273.81802,81.013005,0.001697003851,5.682828351308443,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k10/raw_records.json,3e2b2761a60447294add596df3de78872e033776a055a70877241574a55ce19b,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k10/source_summary.json,832b4a3cb3ee4ddcbec5cf8800106f42531a759357d780af63d029761fec3ac0,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k10/manifest.json,0ae6dee5f1676a19cf42a2885dc22a731cf035d1900017239cae09f1f5bae879
7b,30,23.0,32.0,508,512,4,0.9921875,false,440.0,32.0,686.9671404032594,37.0852,0.873046875,0.689453125,0.587890625,7056.164904,76.8445,0.001844244469,1.5612889554619531,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k30/raw_records.json,e3b836bc3ae306b4c0b86b421077c7bedc89847464dcfdbd8d58aac54c83b1fa,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k30/source_summary.json,6c019fff47884eda03e03ac3208a6382c9a7b5e2ba44b2d9f8d433bb2a68611c,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k30/manifest.json,bd37dc515774f69a2e3260637e529ddc6872288bd2d37f6cec945fab2ac15dd8
7b,60,23.0,62.0,508,512,4,0.9921875,false,440.0,32.0,599.5572631095922,36.8022,0.892578125,0.697265625,0.609375,7098.910916,71.432375,0.001972028496,1.3626301434308914,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k60/raw_records.json,d369cc3e098565e98570309eacc63baf2bbf5caffebfb698a319f3d6885a7852,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k60/source_summary.json,32606d1c8a88edfc02cec3136f1d0ef8dcfb3ad38468c579db4feb328afa741c,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_7b_k60/manifest.json,e6dcdefb631c494b425757047c73f07202f6118edcb74e1c024b5af0080f1ae2
