system,system_key,model,model_key,formal_requests,trace_role,replay_rate,slo_profile,gpu_budget,target_concurrency,keep_alive_s,min_instances,max_instances,total_requests,ok_requests,failed_requests,ttft_target_ms,tpot_target_ms,ttft_avg_ms,ttft_p95_ms,tpot_avg_ms,tpot_p95_ms,ttft_slo_attainment,tpot_slo_attainment,joint_slo_attainment,paper_slo_gate_pass,e2e_avg_ms,e2e_p95_ms,ce,monetary_cost_per_request_usd,monetary_cost_total_usd,infra_gpu_seconds_total,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,predeploy_startup_sec,trace_path,trace_sha256,raw_records_path,raw_records_sha256,source_summary_path,source_summary_sha256,manifest_path,manifest_sha256,serverlessllm_git_commit,baseline_harness_git_commit,relayserve_git_commit
ServerlessLLM,serverlessllm,Llama-3.2 3B,3b,4000,formal4000,1.0,paper_nominal,4,16,60,1,4,4000,4000,0,180.0,14.0,285.1978,259.4662,12.305710021634713,15.485700277512361,0.8145,0.875751503006012,0.74875,false,2518.6656,7342.7917,284.838983,0.0013939,5.57558007,7638.068873,6600.603693,877.52935,61.533104,/home/qhq/relayserve_serverless_llm/data_imports/traces/multi_turn_continuation/llama32_3b/llama32_3b_burstgptv2_chronological_sharegpt_multi_turn_formal4000_v1_trace.json,a90fddd1c6937a6ee8687c79b8006c3d6d24c5bb505ff6b9488377a5b05bb513,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_3b_formal4000_t16_k60_v1/raw_records.json,a1e10ff82c3a82d97625128f2acd19f9fc5c7223e3819b84131cb3377871cf62,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_3b_formal4000_t16_k60_v1/source_summary.json,b6178d379be46f6d23210262ff1bff849fe102e45b972b738f583a44b4cfd1c9,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_3b_formal4000_t16_k60_v1/manifest.json,ad71818a3136b1ae91d19aa25b64b763e0df80c10efc82091ff973e230060938,9f50241baa5386e06a9321c51f19a9ef5f964c2b,5176d6a3c01521b785127c01fd4c8635f717384e,57d9a6cf93f8b73d6060c60e9269d7e2b478ddca
ServerlessLLM,serverlessllm,Llama-2 7B,7b,4000,formal4000,1.0,paper_nominal,4,8,60,1,4,4000,4000,0,440.0,32.0,377.7113,1108.9894,23.93543895138374,32.24866959075452,0.86375,0.9464330413016271,0.8315,false,5831.871,17177.1628,76.818968,0.00223215,8.92860517,14832.962187,9721.631733,4819.770009,66.825378,/home/qhq/relayserve_serverless_llm/data_imports/traces/multi_turn_continuation/llama2_7b/llama2_7b_burstgptv2_chronological_sharegpt_multi_turn_formal4000_v1_trace.json,184029a4954fdf2029a31c040f8811c787fe4d0d64874b55f03efbf136988394,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_formal4000_t8_k60_v1/raw_records.json,c01724fa118b569cdc2b9dded439545faa7f11093ef9190b1c4146c8b2584e47,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_formal4000_t8_k60_v1/source_summary.json,5f9c3629fceb6704c31a9b9740e3f01fca7c9457bbb2c3cb26487670da7f7c72,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/serverlessllm/20260613_serverlessllm_7b_formal4000_t8_k60_v1/manifest.json,9ad28156f5a26c124df6fce93ab8756ade1753a78280bcd867958c90eba6a970,9f50241baa5386e06a9321c51f19a9ef5f964c2b,20bbddcc929c181498b5dfa9bc10918c2a669305,57d9a6cf93f8b73d6060c60e9269d7e2b478ddca
