model_key,keep_alive_s,node_memory_gb,monitor_tail_s,completed,total,failed,success_rate,eligible_zero_failure,ttft_slo_ms,tpot_slo_ms,ttft_p95_ms,tpot_p95_ms,ttft_slo_attainment,tpot_slo_attainment,joint_slo_attainment,e2e_avg_ms,ce,monetary_cost_per_request_usd,worst_normalized_p95_violation,selected,raw_records_path,raw_records_sha256,source_summary_path,source_summary_sha256,manifest_path,manifest_sha256
3b,1,23.0,3.0,512,512,0,1.0,true,180.0,14.0,3443.609814621134,40.319,0.1484375,0.001953125,0.001953125,6584.527844,89.677458,0.001693526786,19.131165636784075,true,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k1/raw_records.json,e16293b34672cd1752971f7039aa2e7042e75c1f0814dcc710b170b9e238ed33,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k1/source_summary.json,11c24d51ded00a68c9a91b0d9364516a2d50c2904cfef9c4ad214fa8d5abcee6,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k1/manifest.json,091ea93cef11b6035252f5b2c524386225203b674e363f50422fe1d56e5cf2b6
3b,10,23.0,12.0,493,512,19,0.962890625,false,180.0,14.0,3008.3250297305353,37.011199999999995,0.34375,0.001953125,0.0,5590.59296,89.875214,0.001990225056,16.712916831836306,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k10/raw_records.json,2f333e4e436e514d97faba58992d080a9f8614967e1c9f97a4801fc20c3c5f7b,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k10/source_summary.json,0564f7aa8dd3adb3023231b15a389faacfccfd4f6d65c753f900517c0eb2ca7c,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k10/manifest.json,fbd2baff72a9f4d456991ca92c2e3095ea27245b846ef9e6fd49f87f381fc717
3b,30,23.0,32.0,467,512,45,0.912109375,false,180.0,14.0,3154.1443209666095,36.9955,0.328125,0.001953125,0.001953125,5782.178299,74.06435,0.002335066789,17.523024005370054,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k30/raw_records.json,60118d753d737c1532e7a280f2d785d68cb471dda56e4ecdfd765aadd5b2e2bd,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k30/source_summary.json,8492d90a4fddec0c9305d2d3d46b0ff9d15922fc33bc85d07a3b803158fe0477,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k30/manifest.json,7dfe6dc5b2fe8d11470275618b0b448c58407309246af9345e2a8ddc35d989c2
3b,60,23.0,62.0,460,512,52,0.8984375,false,180.0,14.0,3249.16562665325,37.03265,0.34375,0.001953125,0.001953125,5666.72008,69.855175,0.00252621118,18.05092014807361,false,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k60/raw_records.json,db2f3a364265e8d82f1b1d9d8f6d71ed48d51f605d46f8578f59b7bc2585b00f,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k60/source_summary.json,429ac644c7ec73181110187ae0ee110f1744de27ac4257c6c053ffa5981a736f,/home/qhq/serverless_llm_baselines/results/relayserve_continuation/slinfer/20260614_slinfer_calibration512_v2_3b_k60/manifest.json,9d3a52cb6a5a43a9f1493f109c39ab757dee22a5c8b43ed9176f80e87ff5caaa
