"system","model","workload","queue_id","source_summary","completed","total","TTFT_avg_ms","TTFT_P50_ms","TTFT_P95_ms","TTFT_P99_ms","TTFT_service_avg_ms","TTFT_service_P95_ms","TTFT_service_P99_ms","Dispatch_admission_wait_avg_ms","Dispatch_admission_wait_P95_ms","TPOT_avg_ms","E2E_avg_ms","E2E_P95_ms","E2E_P99_ms","throughput_RPS","throughput_TOKPS","SLO_attainment","SLO_goodput_RPS","SLO_goodput_TOKPS","avg_cost_USD","total_cost_USD","CE","token_avg_cost_usd","token_ce","infra_cost_per_request_usd","Infra_CE","infra_active_gpu_seconds","infra_idle_ready_gpu_seconds","goodput_tokens_per_gpu_second"
"ServerlessLLM-new","Llama-2 7B","llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1","20260518_serverlessllm_new_remote_v1_clean7b","source_summaries/serverlessllm_new_llama2_7b_summary.json.gz",4000,4000,237136.08,242888.55,471638.44,483278.17,408.59,583.52,615.28,236727.49,471352.05,25.05,239704.18,474611.53,486541.04,0.96,98.397,0.0525,0.0504,5.1659,0.0026775,10.70986,1.5581,0.00234489,1.77911,0.0037043,1.1262,11099.141396,6469.210593,1.566751
"ServerlessLLM-new","Llama-3.2 3B","llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1","20260518_serverlessllm_new_remote_v1","source_summaries/serverlessllm_new_llama32_3b_summary.json.gz",4000,4000,237811.23,243667.66,472400.11,484239.86,498.5,896.84,1098.69,237312.73,472193.51,14.89,239458.22,473842.16,486108.3,0.96,107.291,0.0553,0.053,5.9278,0.00225,9.00013,1.856,0.00234022,1.784488,0.0036268,1.1515,8512.388395,8673.705219,1.843964
