scenario,label,short_label,source,n,used_dispatch_before_tier,gpu_ready_pct,host_pct,nvme_pct,host_nvme_pct,remote_cold_pct,mismatch_pct,ttft_p50_gpu_ready_ms,ttft_p95_gpu_ready_ms,ttft_p50_mismatch_ms,ttft_p95_mismatch_ms,adapter_prep_p95_all_ms,adapter_prep_p95_mismatch_ms,dispatch_wait_p95_mismatch_ms,runtime_ttft_p95_mismatch_ms,scaleout_first_service_n,scaleout_mismatch_n
faaslora_nvme,PrimeLoRA-NVMe,NVMe,/home/qhq/serverless_llm_baselines/results/paper_experiments/14_remote_fair_ablation_real_remote_full_figs_v1/20260514_real_remote_fullfigs_v1_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_ablation_real_remote_fullfigs_v1/raw/faaslora/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_ablation_real_remote_fullfigs_v1_faaslora_nvme_result.json,4000,True,94.9,2.4,0.025,2.425,2.675,5.1,498.7840386129392,1668.1878046147176,1472.2103700951266,4399.295077518763,37.90426780780157,52.24806773662567,7470.57626272089,700.228039149988,6,4
faaslora_no_coord,PrimeLoRA-NoCoord,NoCoord,/home/qhq/serverless_llm_baselines/results/paper_experiments/14_remote_fair_ablation_real_remote_full_figs_v1/20260514_real_remote_fullfigs_v1_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_ablation_real_remote_fullfigs_v1/raw/faaslora/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_ablation_real_remote_fullfigs_v1_faaslora_no_coord_result.json,4000,True,94.75,3.1,0.0,3.1,2.15,5.25,496.3159483013442,1438.8210208668163,1004.7519816471322,4740.030395715976,37.90426780780157,52.24806773662567,8782.580737255892,741.7902001992843,4,2
faaslora_full,PrimeLoRA,PrimeLoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/14_remote_fair_ablation_real_remote_full_figs_v1/20260514_real_remote_fullfigs_v1_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_ablation_real_remote_fullfigs_v1/raw/faaslora/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_ablation_real_remote_fullfigs_v1_faaslora_full_result.json,4000,True,94.575,3.275,0.0,3.275,2.15,5.425,513.3002529692021,1576.3811089182125,777.189191794605,3142.935890983061,37.90426780780157,52.24806773662567,3271.021060292691,685.1045398005225,4,0
