model,system,completed,total,source,reference_found,ttft_avg_ms_current,ttft_avg_ms_reference,ttft_avg_ms_delta,ttft_avg_ms_delta_pct,ttft_p95_ms_current,ttft_p95_ms_reference,ttft_p95_ms_delta,ttft_p95_ms_delta_pct,e2e_avg_ms_current,e2e_avg_ms_reference,e2e_avg_ms_delta,e2e_avg_ms_delta_pct,e2e_p95_ms_current,e2e_p95_ms_reference,e2e_p95_ms_delta,e2e_p95_ms_delta_pct,tpot_avg_ms_current,tpot_avg_ms_reference,tpot_avg_ms_delta,tpot_avg_ms_delta_pct,tok_s_current,tok_s_reference,tok_s_delta,tok_s_delta_pct,cost_req_musd_current,cost_req_musd_reference,cost_req_musd_delta,cost_req_musd_delta_pct,ce_current,ce_reference,ce_delta,ce_delta_pct
Llama-3.2 3B,ServerlessLLM,4000,4000,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_160342_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_serverlessllm_summary.json,True,237443.84,236435.81,1008.0299999999988,0.4263440466145907,471907.56,469526.08,2381.4799999999814,0.5072093119939058,239093.59,238086.45,1007.1399999999849,0.4230144134619973,473509.38,471037.56,2471.820000000007,0.5247607006116484,14.91,14.91,0.0,0.0,107.179,107.341,-0.16199999999999193,-0.1509208969545539,2.2910999999999997,2.2779,0.013199999999999878,0.5794811010140899,1.8256,1.8438,-0.018200000000000216,-0.9870918754745772
Llama-3.2 3B,SGLang,4000,4000,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_160342_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_sglang_dp_tpprofile_summary.json,True,228.59,144.27,84.32,58.445969362999925,219.8,192.94,26.860000000000014,13.92142635016067,1485.52,1401.83,83.69000000000005,5.97005343015915,3124.93,3087.81,37.11999999999989,1.202146505128221,11.06,10.99,0.07000000000000028,0.6369426751592355,112.879,113.091,-0.21199999999998909,-0.18745965638290452,3.6258000000000004,3.6357999999999997,-0.009999999999999343,-0.27504263160788023,185.6602,196.2037,-10.543499999999995,-5.373751871142085
Llama-3.2 3B,S-LoRA,4000,4000,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_160342_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_slora_dp4_tp1_summary.json,True,305.86,289.23,16.629999999999995,5.749749334439724,505.97,465.89,40.08000000000004,8.602889093992161,7757.95,7273.13,484.8199999999997,6.665905875462141,19846.73,18260.11,1586.619999999999,8.688994754138935,133.96,126.64,7.320000000000007,5.780164245104236,119.173,119.2,-0.027000000000001023,-0.022651006711404964,4.6812,3.6912,0.9899999999999998,26.820546163849144,27.5358,37.2486,-9.712800000000005,-26.075610895443056
Llama-3.2 3B,vLLM,4000,4000,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_160342_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_vllm_dp4_tp1_summary.json,True,455.34,323.34,132.0,40.82390053813323,2032.63,975.57,1057.06,108.35306538741452,2564.25,2421.49,142.76000000000022,5.895543652874902,5957.65,5653.53,304.1199999999999,5.379293998616785,20.27,20.02,0.25,1.2487512487512564,112.787,112.826,-0.03899999999998727,-0.03456650062927391,3.6094999999999997,3.5927,0.016799999999999926,0.46761488574051935,108.041,114.9464,-6.9054,-6.007495667545914
