model,system,completed,total,source,reference_found,ttft_avg_ms_current,ttft_avg_ms_reference,ttft_avg_ms_delta,ttft_avg_ms_delta_pct,ttft_p95_ms_current,ttft_p95_ms_reference,ttft_p95_ms_delta,ttft_p95_ms_delta_pct,e2e_avg_ms_current,e2e_avg_ms_reference,e2e_avg_ms_delta,e2e_avg_ms_delta_pct,e2e_p95_ms_current,e2e_p95_ms_reference,e2e_p95_ms_delta,e2e_p95_ms_delta_pct,tpot_avg_ms_current,tpot_avg_ms_reference,tpot_avg_ms_delta,tpot_avg_ms_delta_pct,tok_s_current,tok_s_reference,tok_s_delta,tok_s_delta_pct,cost_req_musd_current,cost_req_musd_reference,cost_req_musd_delta,cost_req_musd_delta_pct,ce_current,ce_reference,ce_delta,ce_delta_pct
Llama-2 7B,ServerlessLLM,4000,4000,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_serverlessllm_summary.json,True,236575.7,236161.76,413.9400000000023,0.17527816527111995,469915.99,469501.14,414.8499999999767,0.08835974285386072,239156.82,238738.81,418.0100000000093,0.17509092886909272,472944.34,472384.05,560.2900000000373,0.11860900045208567,25.14,25.14,0.0,0.0,98.489,98.398,0.09100000000000819,0.09248155450314322,2.6921,2.6886,0.0034999999999998366,0.13017927545933006,1.5532,1.558,-0.0048000000000001375,-0.3080872913992394
Llama-2 7B,SGLang,4000,4000,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_sglang_dp_tpprofile_summary.json,True,274.48,238.69,35.79000000000002,14.994344128367354,359.53,327.63,31.899999999999977,9.736593108079239,2427.36,2384.47,42.89000000000033,1.7987225672791096,5654.69,5627.41,27.279999999999745,0.48477008072984606,20.0,19.96,0.03999999999999915,0.2004008016031955,105.415,105.154,0.2610000000000099,0.2482073910645477,3.599,3.5771,0.02190000000000003,0.6122277822817379,114.4668,117.2412,-2.7744,-2.366403619205537
Llama-2 7B,S-LoRA,4000,4000,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_slora_dp4_tp1_summary.json,True,325.5,264.06,61.44,23.267439218359453,438.05,339.31,98.74000000000001,29.100232825439875,3790.54,3486.15,304.3899999999999,8.731408573928245,8834.01,7763.74,1070.2700000000004,13.785495135076653,29.93,27.8,2.129999999999999,7.6618705035971235,116.433,116.489,-0.055999999999997385,-0.04807320862914022,4.1509,3.7463,0.40459999999999985,10.799989322798487,63.5556,76.5695,-13.013900000000007,-16.9961930011297
Llama-2 7B,vLLM,4000,4000,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_vllm_dp4_tp1_summary.json,True,500.68,501.18,-0.5,-0.0997645556486737,1173.41,1179.94,-6.529999999999973,-0.5534179704052677,3151.02,3153.23,-2.2100000000000364,-0.07008686331159142,7206.33,7213.06,-6.730000000000473,-0.09330298098172429,26.05,26.0,0.05000000000000071,0.19230769230769162,104.558,104.607,-0.04899999999999238,-0.04684198954180152,4.0665,3.671,0.39549999999999974,10.773631163170784,78.0421,86.3904,-8.348299999999995,-9.663457976812229
