round_dir,time_scale,adapter_pool_size,system_key,system,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a300_seed42_z1p0_hot32_rot500_s8_sensadpool_v1,8.0,300,sglang,SGLang,4000.0,228.07,303.07,2375.12,5602.96,19.93,22.97526701464676,105.441,0.0035871,117.3724,4.14979476,14.348596,17218.315159,0.0,8877.317501,8179.576523,161.421136,0.0,19.93,3.362940341341117e-05,0.003553470596586589,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a300_seed42_z1p0_hot32_rot500_s8_sensadpool_v1,8.0,300,vllm,vLLM,4000.0,483.42,1135.17,3142.91,7226.57,26.07,29.022323297561208,104.56,0.0036127,88.0707,4.17872789,14.4509687,17341.162483,0.0,10847.147101,6211.647311,282.368072,0.0,26.07,5.882668152079713e-05,0.003553873318479203,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a300_seed42_z1p0_hot32_rot500_s8_sensadpool_v1,8.0,300,slora,S-LoRA,4000.0,262.2,340.93,3482.84,7704.55,27.76,32.68190761524105,116.49,0.0036293,79.1125,4.14197498,14.5171377,17420.565242,0.0,11859.040103,5198.754881,362.770256,0.0,27.76,7.557713665798988e-05,0.00355372286334201,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a300_seed42_z1p0_hot32_rot500_s8_sensadpool_v1,8.0,300,serverlessllm,ServerlessLLM,4000.0,236248.35,470232.8,238819.83,473158.57,25.08,26.76231346518745,98.404,0.0026746,1.5656,3.10139082,10.6983624,11295.336755,1542.698109,11079.709049,6479.332058,215.627706,0.0,25.08,4.4922438805986685e-05,0.0023082821214184595,0.000321395439775554,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,faaslora,PrimeLoRA,4000.0,531.675,879.1264,3100.6122,7103.5125,27.2044,35.3397375556425,102.42633,0.00254866,126.543736,2.9545,10.19463973,10841.59489,1391.97279,10675.927217,5846.285719,165.667673,0.0,27.2044,3.451409853038162e-05,0.0022241515703144373,0.0002899943311551808,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,sglang,SGLang,4000.0,228.46,303.61,2351.05,5599.66,19.88,22.939962512243632,104.259,0.0035905,118.464,4.15927983,14.3618976,17234.277098,0.0,8786.872633,8270.000687,177.40378,0.0,19.88,3.6959120880512614e-05,0.0035535408791194873,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,vllm,vLLM,4000.0,494.31,1172.47,3163.13,7263.3,26.17,29.14445369387976,104.559,0.0036161,87.4273,4.18257898,14.464249,17357.098814,0.0,10893.12009,6165.522834,298.455892,0.0,26.17,6.217831078318116e-05,0.003553921689216819,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,slora,S-LoRA,4000.0,261.76,338.17,3459.07,7631.33,27.55,32.14525934190345,116.487,0.0036461,79.2895,4.16114767,14.5843025,17501.162942,0.0,11795.818935,5262.053057,443.290948,0.0,27.55,9.235228113939483e-05,0.0035537477188606055,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a400_seed42_z1p0_hot40_rot500_s8_sensadpool_v1,8.0,400,serverlessllm,ServerlessLLM,4000.0,236974.73,471186.59,239546.01,473969.43,25.11,26.701667886791807,98.389,0.0026776,1.5591,3.10479388,10.7103404,11312.820117,1539.588406,11100.934656,6466.271306,211.885461,0.0,25.11,4.414280422731246e-05,0.002312709612262472,0.0003207475835102157,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,500,faaslora,PrimeLoRA,4000.0,563.9507,1015.4881,3167.2217,7206.746,28.6274,39.44787753946742,102.750526,0.00256652,123.02045,2.9741,10.26606983,10954.252041,1365.03175,10788.55221,5733.133349,165.699831,0.0,28.6274,3.452079813901088e-05,0.0022476175871622346,0.0002843816146987547,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,500,sglang,SGLang,4000.0,229.8,305.21,2384.69,5619.52,19.96,23.05333501118598,105.597,0.0036377,115.2768,4.20749821,14.5507953,17460.954323,0.0,8904.241126,8153.379974,403.333224,0.0,19.96,8.402775517805595e-05,0.003553672244821944,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,500,vllm,vLLM,4000.0,517.36,1284.75,3223.25,7391.07,26.57,29.762221684344397,104.539,0.0036413,85.2015,4.21188938,14.565261,17478.313213,0.0,11022.204238,6036.349042,419.759932,0.0,26.57,8.744998576828987e-05,0.0035538500142317103,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,500,slora,S-LoRA,4000.0,284.23,419.33,3591.19,8081.07,28.52,34.39981667579559,116.483,0.003698,75.2993,4.22046298,14.7921277,17750.553211,0.0,12069.863262,4987.987682,692.702268,0.0,28.52,0.0001443129727357716,0.0035536870272642285,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,500,serverlessllm,ServerlessLLM,4000.0,235998.66,469501.74,238580.99,472473.72,25.16,26.873626358368817,98.427,0.0026861,1.5604,3.11467814,10.7442785,11368.778063,1524.356106,11155.637959,6402.295647,213.140105,0.0,25.16,4.440418864843124e-05,0.0023241216218379997,0.0003175741895135692,0.0
