scenario,label,first_service_n,planned_match_n,planned_miss_n,planned_match_rate_pct,gpu_ready_rate_pct,remote_cold_rate_pct,ttft_p50_match_ms,ttft_p95_match_ms,ttft_p50_miss_ms,ttft_p95_miss_ms
faaslora_nvme,PrimeLoRA-NVMe,6,4,2,66.66666666666667,83.33333333333333,0.0,5863.808415655512,11704.45311448566,11020.728989999043,11044.91488445492
faaslora_no_coord,PrimeLoRA-NoCoord,6,4,2,66.66666666666667,83.33333333333333,0.0,4606.542406734661,10096.00353922142,10061.630170050194,10084.40450453636
faaslora_full,PrimeLoRA,6,4,2,66.66666666666667,66.66666666666667,0.0,5223.480964064947,10392.314307828201,8448.303159311763,10693.827527372923
