model_key,model,system_key,system,method,source,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd,diag_service_ttft_ms,diag_dispatch_wait_ms,diag_service_e2e_ms
llama2_7b,Llama-2 7B,sglang,SGLang,measured,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_sglang_dp4_tp1_summary.json,4000.0,229.8,305.21,2384.69,5619.52,19.96,23.05333501118598,105.597,0.0036377,115.2768,4.20749821,14.5507953,17460.954323,0.0,8904.241126,8153.379974,403.333224,0.0,19.96,8.402775517805595e-05,0.003553672244821944,0.0,0.0,214.5,15.3,2369.38
llama2_7b,Llama-2 7B,primelora_sglang,PrimeLoRA-SGLang,measured,/home/qhq/serverless_llm_experiment/results/experiment_results_full_sglang_auto_a500_r4000_c4_faaslora_full_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_primelora_sglang_actual_v1.json,4000.0,301.8373,623.2821,2471.6601,5624.5198,23.3963,35.036458750255406,104.629027,0.00229583,176.226247,2.6578,9.18333965,9260.188628,1759.818949,8954.838159,7391.239587,305.350468,0.0,23.3963,6.36146808506513e-05,0.001865586371341207,0.0003666289478081415,0.0,222.9905,78.8468,2392.8133
llama2_7b,Llama-2 7B,vllm,vLLM,measured,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_vllm_dp4_tp1_summary.json,4000.0,517.36,1284.75,3223.25,7391.07,26.57,29.762221684344397,104.539,0.0036413,85.2015,4.21188938,14.565261,17478.313213,0.0,11022.204238,6036.349042,419.759932,0.0,26.57,8.744998576828987e-05,0.0035538500142317103,0.0,0.0,503.82,13.54,3209.72
llama2_7b,Llama-2 7B,primelora_vllm,PrimeLoRA-vLLM,measured,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/faaslora/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_faaslora_result.json,4000.0,563.9507,1015.4881,3167.2217,7206.746,28.6274,39.44787753946742,102.750526,0.00256652,123.02045,2.9741,10.26606983,10954.252041,1365.03175,10788.55221,5733.133349,165.699831,0.0,28.6274,3.452079813901088e-05,0.0022476175871622346,0.0002843816146987547,0.0,452.8069,111.1438,3056.0779
llama32_3b,Llama-3.2 3B,sglang,SGLang,measured,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_sglang_dp_tpprofile_summary.json,4000.0,120.87,154.3,1379.85,3070.87,11.0,11.77283414366907,113.093,0.0036258,199.8795,4.23315257,14.5030178,17403.621306,0.0,5386.225999,11670.501465,346.89384,0.0,11.0,7.226955022423814e-05,0.0035535304497757623,0.0,0.0,103.78,17.09,1362.76
llama32_3b,Llama-3.2 3B,primelora_sglang,PrimeLoRA-SGLang,measured,/home/qhq/serverless_llm_experiment/results/experiment_results_full_sglang_auto_a500_r4000_c4_faaslora_full_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_primelora_sglang_actual_v1.json,4000.0,133.7964,217.0148,1478.5331,3266.4299,13.2372,18.318632164042455,112.97433,0.00116627,579.922798,1.3618,4.66507621,4781.087944,817.003511,4694.287206,3431.414746,86.800738,0.0,13.2372,1.808348707364245e-05,0.0009779774482259055,0.00017020906470045216,0.0,117.9509,15.8455,1462.6876
llama32_3b,Llama-3.2 3B,vllm,vLLM,measured,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_vllm_dp4_tp1_summary.json,4000.0,312.47,883.16,2405.04,5599.22,20.13,28.50957508988374,112.786,0.0035809,116.1133,4.17733094,14.3237085,17188.450232,0.0,8781.943544,8277.442116,129.064572,0.0,20.13,2.688845244994136e-05,0.003554011547550059,0.0,0.0,295.4,17.07,2387.97
llama32_3b,Llama-3.2 3B,primelora_vllm,PrimeLoRA-vLLM,measured,/home/qhq/serverless_llm_experiment/results/experiment_results_full_vllm_auto_a500_r4000_c4_faaslora_full_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_max2_auto.json,4000.0,881.3136,2213.23,2942.6985,5765.2772,26.5885,78.76260752832005,112.868675,0.00140888,241.20103,1.6433,5.63553398,6307.640395,455.000378,6249.13659,1911.001586,58.503806,0.0,26.5885,1.2188292922073559e-05,0.0013018999616192088,9.479174545871759e-05,0.0,666.4434,214.8701,2727.8283
