scenario,label,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_ms,gpu_hit_rate_pct,lora_io_ms,dispatch_wait_ms,cost_per_req_usd,ce,reference,ttft_avg_improvement_pct,ttft_p95_improvement_pct,e2e_avg_improvement_pct,e2e_p95_improvement_pct,tpot_improvement_pct,lora_io_improvement_pct,dispatch_wait_improvement_pct,cost_improvement_pct,ce_improvement_pct
faaslora_nvme,NVMe-pre,581.4423,1105.1513,3155.4535,7187.1623,28.3381,95.625,1.8578,129.8283,0.00256216,123.689218,,,,,,,,,,
faaslora_no_coord,NoCoord,564.4969,1050.3529,3163.2883,7229.3245,28.1973,95.55,1.8924,107.4955,0.00256527,123.233492,NVMe-pre,3.0018588233168497,5.2171417815859655,-0.24767897380709725,-0.5832107826948429,0.4993385891557178,-1.8283660959628079,20.775567349330903,-0.1212348017947451,-0.36844440232454145
faaslora_full,Full,545.667,941.5925,3129.7466,7188.5701,27.6805,95.8,1.7676,100.2252,0.00255519,125.045244,NVMe-pre,6.556251340103025,17.370444220828006,0.8213732063803603,-0.019583866894479218,2.3756796300644867,5.102964471599902,29.53658361370195,0.2727781495700743,1.0963170613626172
