tier,count,ttft_avg_ms,ttft_p95_ms,lora_io_avg_ms,lora_io_p95_ms
GPU,3832,521.474427494578,906.4754657403677,0.0,0.0
HOST,37,1215.9622145716,6577.792979188948,51.41020863281714,52.248067784309384
NVME,131,1064.026902928968,4804.175359793589,39.45138127370039,44.237762331962585
