model_key,system_key,system,ttft_avg_ms_local,ttft_avg_ms_real,ttft_avg_ms_delta,ttft_avg_ms_delta_pct,ttft_p95_ms_local,ttft_p95_ms_real,ttft_p95_ms_delta,ttft_p95_ms_delta_pct,e2e_avg_ms_local,e2e_avg_ms_real,e2e_avg_ms_delta,e2e_avg_ms_delta_pct,tpot_avg_ms_local,tpot_avg_ms_real,tpot_avg_ms_delta,tpot_avg_ms_delta_pct,tok_s_local,tok_s_real,tok_s_delta,tok_s_delta_pct,cost_req_usd_local,cost_req_usd_real,cost_req_usd_delta,cost_req_usd_delta_pct,ce_local,ce_real,ce_delta,ce_delta_pct
llama2_7b,sglang,SGLang,229.8,274.48,44.68000000000001,19.44299390774587,305.21,359.53,54.31999999999999,17.797581992726318,2384.69,2427.36,42.67000000000007,1.789331108026623,19.96,20.0,0.03999999999999915,0.20040080160320214,105.597,105.415,-0.18199999999998795,-0.1723533812513499,0.0036377,0.003599,-3.8699999999999585e-05,-1.0638590318058,115.2768,114.4668,-0.8099999999999881,-0.7026565622917952
llama2_7b,primelora_sglang,PrimeLoRA-SGLang,301.8373,339.264,37.42669999999998,12.39962721638445,623.2821,1215.7314,592.4492999999999,95.05315490369448,2471.6601,2523.0274,51.36729999999989,2.0782509698643388,23.3963,23.9261,0.5298000000000016,2.2644606198416057,104.629027,105.256605,0.6275779999999997,0.5998125166546754,0.00229583,0.00228142,-1.4409999999999857e-05,-0.6276597134805215,176.226247,173.729443,-2.4968039999999974,-1.4168173257414924
llama2_7b,vllm,vLLM,517.36,500.68,-16.680000000000007,-3.2240606154321956,1284.75,1173.41,-111.33999999999992,-8.66627748589219,3223.25,3151.02,-72.23000000000002,-2.240905917939968,26.57,26.05,-0.5199999999999996,-1.9570944674444848,104.539,104.558,0.019000000000005457,0.018175035154349532,0.0036413,0.0040665,0.0004251999999999997,11.677148271221808,85.2015,78.0421,-7.159399999999991,-8.402903704746972
llama2_7b,primelora_vllm,PrimeLoRA-vLLM,563.9507,657.1698,93.21910000000003,16.529654099196975,1015.4881,1661.2877,645.7996,63.594994367733115,3167.2217,3265.4022,98.18049999999994,3.0998935123486913,28.6274,29.8132,1.1857999999999969,4.142185458686422,102.750526,102.030525,-0.7200009999999963,-0.700727313065041,0.00256652,0.00257684,1.031999999999986e-05,0.40210089927216075,123.02045,118.843777,-4.176672999999994,-3.395104635042381
llama32_3b,sglang,SGLang,120.87,228.59,107.72,89.12054273186068,154.3,219.8,65.5,42.449773169151,1379.85,1485.52,105.67000000000007,7.65807877667863,11.0,11.06,0.0600000000000005,0.54545454545455,113.093,112.879,-0.21399999999999864,-0.1892247972907241,0.0036258,0.0036258,0.0,0.0,199.8795,185.6602,-14.219300000000004,-7.113936146528285
llama32_3b,primelora_sglang,PrimeLoRA-SGLang,133.7964,327.6168,193.8204,144.86219360162156,217.0148,2222.9376,2005.9228000000003,924.3253455524692,1478.5331,1767.3,288.76689999999985,19.530634789305687,13.2372,16.1471,2.9098999999999986,21.982745595745314,112.97433,113.032817,0.05848699999999951,0.05177016761241205,0.00116627,0.00121275,4.648e-05,3.9853550207070403,579.922798,466.57014,-113.35265799999996,-19.54616345329469
llama32_3b,vllm,vLLM,312.47,455.34,142.86999999999995,45.722789387781205,883.16,2032.63,1149.4700000000003,130.15421894107527,2405.04,2564.25,159.21000000000004,6.619848318531087,20.13,20.27,0.14000000000000057,0.695479384003977,112.786,112.787,0.0010000000000047748,0.0008866348660337053,0.0035809,0.0036095,2.859999999999972e-05,0.7986818956128269,116.1133,108.041,-8.072299999999998,-6.952089037173175
llama32_3b,primelora_vllm,PrimeLoRA-vLLM,881.3136,1087.2257,205.9121,23.364225855586483,2213.23,3744.1838,1530.9537999999998,69.17282885194939,2942.6985,3286.2354,343.53690000000006,11.67421331135351,26.5885,34.9222,8.333699999999997,31.343249901273097,112.868675,112.854832,-0.013842999999994277,-0.012264696116964496,0.00140888,0.00143165,2.2770000000000082e-05,1.6161773891317985,241.20103,212.551474,-28.64955599999999,-11.877874650866952
